name,gender
Maria,female
Ana,female
Elena,female
Ioana,female
Alexandra,female
Andreea,female
Mihaela,female
Cristina,female
Daniela,female
Georgiana,female
Monica,female
Roxana,female
Alina,female
Diana,female
Simona,female
Iulia,female
Denisa,female
Adina,female
Luminita,female
Nicoleta,female
Camelia,female
Raluca,female
Adriana,female
Claudia,female
Corina,female
Carmen,female
Anca,female
Oana,female
Ramona,female
Florina,female
Madalina,female
Ionela,female
Gabriela,female
Mirela,female
Rodica,female
Florentina,female
Emilia,female
Loredana,female
Viorica,female
Dorina,female
Liliana,female
Mariana,female
Victoria,female
Valentina,female
Silvia,female
Petronela,female
Marcela,female
Irina,female
Sorina,female
Adelina,female
Geanina,female
Lidia,female
Sabina,female
Anamaria,female
Catalina,female
Ion,male
Mihai,male
Andrei,male
Alexandru,male
Marius,male
Daniel,male
Cristian,male
Bogdan,male
Stefan,male
Ionut,male
Gabriel,male
Adrian,male
Catalin,male
Cosmin,male
Vlad,male
George,male
Valentin,male
Gheorghe,male
Constantin,male
Florin,male
Marian,male
Alin,male
Sorin,male
Codrut,male
Razvan,male
Liviu,male
Tudor,male
Costel,male
Radu,male
Dorin,male
Ovidiu,male
Vasile,male
Lucian,male
Laurentiu,male
Emil,male
Dumitru,male
Robert,male
Viorel,male
Ciprian,male
Nicolae,male
Dragos,male
Eugen,male
Octavian,male
Iulian,male
Victor,male
Silviu,male
Sergiu,male
Cristi,male
Sebastian,male
Paul,male
Petru,male
Aurel,male
Mircea,male
Virgil,male
Decebal,male
